
> node-web@0.0.0 start /home/inigo/workspace/Web/web_fin_grado
> node ./bin/www

[ '1509224748', '27.50000000000000000000' ]
[ '1509224697', '27.50000000000000000000' ]
[ '1509224700', '27.50000000000000000000' ]
[ '1509224663', '27.50000000000000000000' ]
[ '1509224677', '27.50000000000000000000' ]
[ '1509224652', '27.50000000000000000000' ]
[ '1509224764', '27.50000000000000000000' ]
[ '1509224775', '27.50000000000000000000' ]
[ '1509224798', '27.50000000000000000000' ]
[ '1509224872', '27.25000000000000000000' ]
[ '1509224876', '27.25000000000000000000' ]
[ '1509224897', '27.25000000000000000000' ]
[ '1509224831', '27.50000000000000000000' ]
[ '1509224856', '27.50000000000000000000' ]
[ '1509224860', '27.50000000000000000000' ]
[ '1509224918', '27.25000000000000000000' ]
[ '1509224982', '27.25000000000000000000' ]
[ '1509224933', '27.25000000000000000000' ]
[ '1509224936', '27.25000000000000000000' ]
[ '1509224938', '27.25000000000000000000' ]
[ '1509224956', '27.25000000000000000000' ]
[ '1509224961', '27.25000000000000000000' ]
[ '1509224963', '27.25000000000000000000' ]
[ '1509224973', '27.25000000000000000000' ]
[ '1509225021', '27.25000000000000000000' ]
[ '1509225031', '27.25000000000000000000' ]
[ '1509225033', '27.25000000000000000000' ]
[ '1509225016', '27.25000000000000000000' ]
[ '1509224987', '27.25000000000000000000' ]
[ '1509224989', '27.25000000000000000000' ]
[ '1509224991', '27.25000000000000000000' ]
[ '1509225000', '27.25000000000000000000' ]
[ '1509225005', '27.25000000000000000000' ]
[ '1509225122', '27.25000000000000000000' ]
[ '1509225135', '27.25000000000000000000' ]
[ '1509225167', '27.00000000000000000000' ]
[ '1509225174', '27.00000000000000000000' ]
[ '1509225179', '27.00000000000000000000' ]
[ '1509225049', '27.25000000000000000000' ]
[ '1509225062', '27.25000000000000000000' ]
[ '1509225065', '27.25000000000000000000' ]
[ '1509225085', '27.25000000000000000000' ]
[ '1509225197', '27.00000000000000000000' ]
[ '1509225206', '27.00000000000000000000' ]
[ '1509225213', '27.00000000000000000000' ]
[ '1509225222', '27.00000000000000000000' ]
[ '1509225226', '27.00000000000000000000' ]
[ '1509225233', '27.00000000000000000000' ]
[ '1509225229', '27.00000000000000000000' ]
[ '1509225231', '27.00000000000000000000' ]
[ '1509225186', '27.00000000000000000000' ]
[ '1509225337', '27.00000000000000000000' ]
[ '1509225270', '27.00000000000000000000' ]
[ '1509225277', '27.00000000000000000000' ]
[ '1509225236', '27.00000000000000000000' ]
[ '1509225252', '27.00000000000000000000' ]
[ '1509225290', '27.00000000000000000000' ]
[ '1509225299', '27.00000000000000000000' ]
[ '1509225302', '27.00000000000000000000' ]
[ '1509225306', '27.00000000000000000000' ]
[ '1509225351', '27.00000000000000000000' ]
[ '1509225354', '27.00000000000000000000' ]
[ '1509225360', '27.00000000000000000000' ]
[ '1509225372', '27.00000000000000000000' ]
[ '1509225374', '27.00000000000000000000' ]
[ '1509225395', '27.00000000000000000000' ]
[ '1509225406', '27.00000000000000000000' ]
[ '1509225408', '27.00000000000000000000' ]
[ '1509225418', '27.00000000000000000000' ]
[ '1509225452', '26.75000000000000000000' ]
[ '1509225457', '26.75000000000000000000' ]
[ '1509225482', '26.75000000000000000000' ]
[ '1509225485', '26.75000000000000000000' ]
[ '1509225489', '26.75000000000000000000' ]
[ '1509225496', '26.75000000000000000000' ]
[ '1509225510', '26.75000000000000000000' ]
[ '1509225448', '27.00000000000000000000' ]
[ '1509225450', '27.00000000000000000000' ]
[ '1509225591', '26.75000000000000000000' ]
[ '1509225594', '26.75000000000000000000' ]
[ '1509225605', '26.75000000000000000000' ]
[ '1509225512', '26.75000000000000000000' ]
[ '1509225530', '26.75000000000000000000' ]
[ '1509225546', '26.75000000000000000000' ]
[ '1509225548', '26.75000000000000000000' ]
[ '1509225560', '26.75000000000000000000' ]
[ '1509225573', '26.75000000000000000000' ]
[ '1509225612', '26.75000000000000000000' ]
[ '1509225652', '26.75000000000000000000' ]
[ '1509225670', '26.75000000000000000000' ]
[ '1509225680', '26.75000000000000000000' ]
[ '1509225684', '26.75000000000000000000' ]
[ '1509225640', '26.75000000000000000000' ]
[ '1509225702', '26.75000000000000000000' ]
[ '1509225717', '26.75000000000000000000' ]
[ '1509225712', '26.75000000000000000000' ]
[ '1509225777', '26.50000000000000000000' ]
[ '1509225779', '26.50000000000000000000' ]
[ '1509225783', '26.50000000000000000000' ]
[ '1509225788', '26.50000000000000000000' ]
[ '1509225728', '26.75000000000000000000' ]
[ '1509225742', '26.75000000000000000000' ]
[ '1509225719', '26.75000000000000000000' ]
[ '1509225768', '26.50000000000000000000' ]
[ '1509225733', '26.75000000000000000000' ]
[ '1509225851', '26.50000000000000000000' ]
[ '1509225855', '26.50000000000000000000' ]
[ '1509225862', '26.50000000000000000000' ]
[ '1509225800', '26.50000000000000000000' ]
[ '1509225821', '26.50000000000000000000' ]
[ '1509225793', '26.50000000000000000000' ]
[ '1509225871', '26.50000000000000000000' ]
[ '1509225876', '26.50000000000000000000' ]
[ '1509225878', '26.50000000000000000000' ]
[ '1509225938', '26.50000000000000000000' ]
[ '1509225943', '26.50000000000000000000' ]
[ '1509225945', '26.50000000000000000000' ]
[ '1509225977', '26.50000000000000000000' ]
[ '1509225979', '26.50000000000000000000' ]
[ '1509225885', '26.50000000000000000000' ]
[ '1509225915', '26.50000000000000000000' ]
[ '1509225919', '26.50000000000000000000' ]
[ '1509225931', '26.50000000000000000000' ]
[ '1509225993', '26.50000000000000000000' ]
[ '1509225995', '26.50000000000000000000' ]
[ '1509226007', '26.50000000000000000000' ]
[ '1509226013', '26.50000000000000000000' ]
[ '1509226018', '26.50000000000000000000' ]
[ '1509226023', '26.50000000000000000000' ]
[ '1509226032', '26.50000000000000000000' ]
[ '1509226037', '26.50000000000000000000' ]
[ '1509226046', '26.50000000000000000000' ]
[ '1509226139', '26.25000000000000000000' ]
[ '1509226059', '26.50000000000000000000' ]
[ '1509226062', '26.50000000000000000000' ]
[ '1509226066', '26.50000000000000000000' ]
[ '1509226089', '26.50000000000000000000' ]
[ '1509226091', '26.50000000000000000000' ]
[ '1509226124', '26.50000000000000000000' ]
[ '1509226128', '26.50000000000000000000' ]
[ '1509226135', '26.50000000000000000000' ]
[ '1509226151', '26.25000000000000000000' ]
[ '1509226190', '26.25000000000000000000' ]
[ '1509226194', '26.25000000000000000000' ]
[ '1509226206', '26.25000000000000000000' ]
[ '1509226210', '26.25000000000000000000' ]
[ '1509226215', '26.25000000000000000000' ]
[ '1509226217', '26.25000000000000000000' ]
[ '1509226227', '26.25000000000000000000' ]
[ '1509226231', '26.25000000000000000000' ]
[ '1509226258', '26.25000000000000000000' ]
[ '1509226290', '26.25000000000000000000' ]
[ '1509226292', '26.25000000000000000000' ]
[ '1509226302', '26.25000000000000000000' ]
[ '1509226304', '26.25000000000000000000' ]
[ '1509226313', '26.25000000000000000000' ]
[ '1509226318', '26.25000000000000000000' ]
[ '1509226336', '26.25000000000000000000' ]
[ '1509226247', '26.25000000000000000000' ]
[ '1509226338', '26.25000000000000000000' ]
[ '1509226341', '26.25000000000000000000' ]
[ '1509226344', '26.25000000000000000000' ]
[ '1509226348', '26.25000000000000000000' ]
[ '1509226364', '26.25000000000000000000' ]
[ '1509226366', '26.25000000000000000000' ]
[ '1509226378', '26.25000000000000000000' ]
[ '1509226387', '26.25000000000000000000' ]
[ '1509226410', '26.25000000000000000000' ]
[ '1509226442', '26.25000000000000000000' ]
[ '1509226508', '26.00000000000000000000' ]
[ '1509226528', '26.00000000000000000000' ]
[ '1509226465', '26.25000000000000000000' ]
[ '1509226467', '26.25000000000000000000' ]
[ '1509226471', '26.25000000000000000000' ]
[ '1509226476', '26.25000000000000000000' ]
[ '1509226483', '26.25000000000000000000' ]
[ '1509226487', '26.25000000000000000000' ]
[ '1509226635', '26.00000000000000000000' ]
[ '1509226535', '26.00000000000000000000' ]
[ '1509226560', '26.00000000000000000000' ]
[ '1509226574', '26.00000000000000000000' ]
[ '1509226578', '26.00000000000000000000' ]
[ '1509226590', '26.00000000000000000000' ]
[ '1509226592', '26.00000000000000000000' ]
[ '1509226667', '26.00000000000000000000' ]
[ '1509226671', '26.00000000000000000000' ]
[ '1509226700', '26.00000000000000000000' ]
[ '1509226702', '26.00000000000000000000' ]
[ '1509226706', '26.00000000000000000000' ]
[ '1509226713', '26.00000000000000000000' ]
[ '1509226724', '26.00000000000000000000' ]
[ '1509226727', '26.00000000000000000000' ]
[ '1509226750', '26.00000000000000000000' ]
[ '1509226752', '26.00000000000000000000' ]
[ '1509226759', '26.00000000000000000000' ]
[ '1509226771', '26.00000000000000000000' ]
[ '1509226777', '26.00000000000000000000' ]
[ '1509226794', '26.00000000000000000000' ]
[ '1509226806', '26.00000000000000000000' ]
[ '1509226808', '26.00000000000000000000' ]
[ '1509226824', '26.00000000000000000000' ]
[ '1509226844', '26.00000000000000000000' ]
[ '1509226847', '26.00000000000000000000' ]
[ '1509226851', '26.00000000000000000000' ]
[ '1509226959', '25.75000000000000000000' ]
[ '1509226966', '25.75000000000000000000' ]
[ '1509226994', '25.75000000000000000000' ]
[ '1509226998', '25.75000000000000000000' ]
[ '1509226890', '25.75000000000000000000' ]
[ '1509226934', '25.75000000000000000000' ]
[ '1509226939', '25.75000000000000000000' ]
[ '1509226913', '25.75000000000000000000' ]
[ '1509226920', '25.75000000000000000000' ]
[ '1509227012', '25.75000000000000000000' ]
[ '1509227010', '25.75000000000000000000' ]
[ '1509227057', '25.75000000000000000000' ]
[ '1509227040', '25.75000000000000000000' ]
[ '1509227070', '25.75000000000000000000' ]
[ '1509227086', '25.75000000000000000000' ]
[ '1509227096', '25.75000000000000000000' ]
[ '1509227117', '25.75000000000000000000' ]
[ '1509227144', '25.75000000000000000000' ]
[ '1509227217', '25.75000000000000000000' ]
[ '1509227219', '25.75000000000000000000' ]
[ '1509227221', '25.75000000000000000000' ]
[ '1509227226', '25.75000000000000000000' ]
[ '1509227156', '25.75000000000000000000' ]
[ '1509227167', '25.75000000000000000000' ]
[ '1509227183', '25.75000000000000000000' ]
[ '1509227190', '25.75000000000000000000' ]
[ '1509227192', '25.75000000000000000000' ]
[ '1509227356', '25.75000000000000000000' ]
[ '1509227237', '25.75000000000000000000' ]
[ '1509227242', '25.75000000000000000000' ]
[ '1509227244', '25.75000000000000000000' ]
[ '1509227256', '25.75000000000000000000' ]
[ '1509227280', '25.75000000000000000000' ]
[ '1509227291', '25.75000000000000000000' ]
[ '1509227312', '25.75000000000000000000' ]
[ '1509227326', '25.75000000000000000000' ]
[ '1509227358', '25.75000000000000000000' ]
[ '1509227367', '25.75000000000000000000' ]
[ '1509227384', '25.75000000000000000000' ]
[ '1509227396', '25.75000000000000000000' ]
[ '1509227405', '25.75000000000000000000' ]
[ '1509227416', '25.75000000000000000000' ]
[ '1509227423', '25.50000000000000000000' ]
[ '1509227446', '25.50000000000000000000' ]
[ '1509227363', '25.75000000000000000000' ]
[ '1509227450', '25.50000000000000000000' ]
[ '1509227469', '25.50000000000000000000' ]
[ '1509227473', '25.50000000000000000000' ]
[ '1509227503', '25.50000000000000000000' ]
[ '1509227510', '25.50000000000000000000' ]
[ '1509227512', '25.50000000000000000000' ]
[ '1509227514', '25.50000000000000000000' ]
[ '1509227541', '25.50000000000000000000' ]
[ '1509227546', '25.50000000000000000000' ]
[ '1509227617', '25.50000000000000000000' ]
[ '1509227626', '25.50000000000000000000' ]
[ '1509227631', '25.50000000000000000000' ]
[ '1509227640', '25.50000000000000000000' ]
[ '1509227642', '25.50000000000000000000' ]
[ '1509227567', '25.50000000000000000000' ]
[ '1509227569', '25.50000000000000000000' ]
[ '1509227583', '25.50000000000000000000' ]
[ '1509227592', '25.50000000000000000000' ]
[ '1509227647', '25.25000000000000000000' ]
[ '1509227651', '25.25000000000000000000' ]
[ '1509227658', '25.25000000000000000000' ]
[ '1509227665', '25.25000000000000000000' ]
[ '1509227681', '25.25000000000000000000' ]
[ '1509227704', '25.25000000000000000000' ]
[ '1509227706', '25.25000000000000000000' ]
[ '1509227715', '25.25000000000000000000' ]
[ '1509227720', '25.25000000000000000000' ]
[ '1509227734', '25.25000000000000000000' ]
[ '1509227738', '25.25000000000000000000' ]
[ '1509227768', '25.25000000000000000000' ]
[ '1509227782', '25.25000000000000000000' ]
[ '1509227791', '25.25000000000000000000' ]
[ '1509227834', '25.25000000000000000000' ]
[ '1509227836', '25.25000000000000000000' ]
[ '1509227839', '25.25000000000000000000' ]
[ '1509227880', '25.25000000000000000000' ]
[ '1509227955', '25.25000000000000000000' ]
[ '1509227882', '25.25000000000000000000' ]
[ '1509227884', '25.25000000000000000000' ]
[ '1509227898', '25.25000000000000000000' ]
[ '1509227900', '25.25000000000000000000' ]
[ '1509227905', '25.25000000000000000000' ]
[ '1509227909', '25.25000000000000000000' ]
[ '1509227914', '25.25000000000000000000' ]
[ '1509227923', '25.25000000000000000000' ]
[ '1509227959', '25.25000000000000000000' ]
[ '1509227964', '25.25000000000000000000' ]
[ '1509227968', '25.25000000000000000000' ]
[ '1509227991', '25.25000000000000000000' ]
[ '1509227994', '25.25000000000000000000' ]
[ '1509228005', '25.25000000000000000000' ]
[ '1509228058', '25.25000000000000000000' ]
[ '1509228025', '25.25000000000000000000' ]
[ '1509228040', '25.25000000000000000000' ]
[ '1509228063', '25.25000000000000000000' ]
[ '1509228070', '25.25000000000000000000' ]
[ '1509228091', '25.25000000000000000000' ]
[ '1509228093', '25.25000000000000000000' ]
[ '1509228096', '25.25000000000000000000' ]
[ '1509228098', '25.25000000000000000000' ]
